date	cryptoCurrency	title	isPositive	category	link
2018-08-13	ETH	"Twitter ‘Free ETH Giveaway’ Scams Can Rake in $50K-100K Per Day"	FALSE	SECURITY	https://bitcoinist.com/twitter-free-eth-giveaway-scam-money/
2018-08-13	ETH	"Bitcoin and ether are both down more than two-thirds from their peaks"	FALSE	ECONOMIC	https://arstechnica.com/tech-policy/2018/08/bitcoin-and-ether-are-both-down-more-than-two-thirds-from-their-peaks/
2018-09-05	ETH	"ETH's Buterin: Free Riders Crypto's Major Problem"	FALSE	SECURITY	https://www.investopedia.com/news/eths-buterin-free-riders-cryptos-major-problem/
2018-10-11	ETH	"Origin DApp: A decentralized marketplace on Ethereum mainnet aims to disrupt gig economy platforms like Airbnb and Uber"	FALSE	SECURITY	https://hub.packtpub.com/origin-dapp-a-decentralized-marketplace-on-ethereum-mainnet-aims-to-disrupt-gig-economy-platforms-like-airbnb-and-uber/
2018-12-25	ETH	"Why Bitcoin, Ethereum and the Entire Crypto Market Are Down in Value"	FALSE	ECONOMIC	https://cointelegraph.com/news/why-bitcoin-ethereum-and-the-entire-crypto-market-are-down-in-value
2019-01-01	ETH	"Hot January for Ethereum: The Three Hard Forks you Should Know About"	TRUE	ECONOMIC	https://cryptopotato.com/hot-january-for-ethereum-the-three-hard-forks-you-should-know-about/
2019-01-10	ETH	"Ethereum Classic 51% Attack — The Reality of Proof-of-Work"	FALSE	SECURITY	https://cointelegraph.com/news/ethereum-classic-51-attack-the-reality-of-proof-of-work
2019-02-08	LTC	"Litecoin Price Pumps 10% After Mimblewimble Privacy Announcement"	TRUE	SECURITY	https://bitcoinist.com/litecoin-price-mimblewimble-privacy/
2019-05-14	ETH	"Ethereum Price Analysis: ETH Hits New YTD-High, Can it Hold Above $200?"	TRUE	ECONOMIC	https://bitcoinist.com/ethereum-eth-price-analysis-ytd-high-200/
2019-06-27	ETH	"Ethereum Price Analysis: ETH Stabilizes After 60% Spike"	FALSE	ECONOMIC	https://bitcoinist.com/ethereum-price-analysis-eth-stablizes-after-recent-60-spike/
2019-09-24	ETH	"Is Ethereum a ‘Centralized Pile of Trash’ After All?"	FALSE	RECOMMENDATIONS	https://bitcoinist.com/ethereum-centralized-pile-of-trash/
2020-03-12	ETH	"Ether Suffers Record-Setting 33% Drop Amid Global Market Turmoil"	FALSE	PANDEMY	https://sg.news.yahoo.com/finance/news/ether-suffers-record-setting-33-142443874.html
2020-04-16	ETH	"An Ethereum domain name is used as loan collateral for the first time"	TRUE	CULTURE	https://decrypt.co/25881/an-ethereum-domain-name-is-used-as-loan-collateral-for-the-first-time
